Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Timestamp
-0.6775,-0.3204,-0.3113,-0.0043,-0.0137,1.0123,22.5
0.3479,0.7416,-0.2014,0.0024,-0.0098,0.9909,22.5999999999767
-0.7416,0.2289,-0.1648,-0.0159,-0.004,1.0175,22.7000000000116
0.5585,-0.5585,-0.1648,-0.0116,-0.0021,1.0047,22.7999999999884
0.238,-0.1831,-0.3296,-0.0034,0.0021,0.9812,22.8999999999651
-0.238,0.3021,0.0092,0.0076,-0.0055,1.0294,23
0.1007,0.5585,-0.1556,-0.0177,-0.004,1.0086,23.0999999999767
0.5036,-0.8789,-0.1007,-0.015,-0.0018,0.9769,23.2000000000116
-0.1831,-0.0183,0.6317,0.0095,0,1.0019,23.2999999999884
0.0458,0.9796,0.3662,-0.0223,-0.0186,1.0208,23.3999999999651
0.586,-0.65,0.2747,-0.0128,0.0055,1.0062,23.5
-0.0641,0.3021,0.705,0.0003,0.0027,0.9821,23.5999999999767
-0.2289,0.238,0.3754,-0.0253,-0.0189,1.0065,23.7000000000116
1.3276,-0.8698,0.119,-0.0156,-0.0034,1.0132,23.7999999999884
-0.174,0.2014,0.705,0.0128,-0.0098,1.0126,23.8999999999651
-0.3296,0.293,0.4395,-0.0247,-0.0354,0.9891,24
1.4008,-0.943,0.0916,-0.0104,-0.0055,1.0269,24.0999999999767
-0.0916,0.3479,0.4395,0.0134,-0.0204,0.9952,24.2000000000116
0.293,0.5402,0.0732,-0.018,-0.0293,0.9912,24.2999999999884
0.8423,-1.4283,-0.2289,-0.0217,-0.014,1.0361,24.3999999999651
0.0183,-0.4944,0.0824,0.0275,-0.0183,0.9482,24.5
-0.4028,0.9796,0.0275,-0.0009,-0.0229,1.0025,24.5999999999767
0.3113,-0.4303,-0.3571,-0.0195,-0.0143,1.0123,24.7000000000116
0,-1.2452,-0.0092,0.0095,-0.0024,0.9607,24.7999999999884
-0.3754,1.0346,-0.1007,0.0034,-0.0177,1.0044,24.8999999999651
0.1923,0.1282,-0.5585,-0.0168,-0.0156,0.9876,25
0.7599,-1.3092,-0.2747,0.0043,0.0027,0.9836,25.0999999999767
-0.5768,0.1923,-0.1831,0.004,-0.0003,1.0211,25.2000000000116
0.0549,0.5219,-0.6409,0.0052,0.0021,0.9879,25.2999999999884
-0.1556,-0.3937,-0.2106,-0.0012,-0.0061,1.0019,25.3999999999651
-0.0366,0.9888,-0.3296,0.0021,0.007,1.0102,25.5
-0.0275,-0.5493,-0.6317,-0.0177,0.0146,0.9922,25.5999999999767
0.4303,-0.1282,-0.412,0.0143,0.0067,0.9793,25.7000000000116
-0.1648,1.3642,-0.4028,-0.004,0.0012,1.0462,25.7999999999884
-0.1282,0.2747,-0.5402,-0.0119,0.0003,1.0489,25.8999999999651
0.1831,-1.7212,-0.705,-0.0082,-0.0119,0.933,26
1.0346,0.586,-0.4669,0.0293,-0.0092,1.0031,26.0999999999767
-1.5015,1.1261,-1.0254,-0.0146,-0.0281,1.0691,26.2000000000116
-0.3296,-1.8952,-0.8881,-0.018,-0.0201,0.9903,26.2999999999884
1.0071,-0.5768,-0.2106,0.0238,-0.015,0.9613,26.3999999999651
-0.3204,1.1811,-0.7782,0.0052,-0.0183,1.0034,26.5
