Yaw,Pitch,Raw,Timestamp
56.81,0.35,0.11,301.701000000001
56.77,0.38,0.42,301.800999999978
56.61,0.66,0.53,301.901000000013
56.55,0.48,0.34,302.000999999989
56.55,0.72,0.25,302.100999999966
56.45,0.47,0.48,302.201000000001
56.38,0.57,0.38,302.300999999978
56.28,0.74,0.15,302.401000000013
56.27,0.34,0.41,302.500999999989
56.21,0.26,0.49,302.600999999966
56.22,0.15,0.45,302.701000000001
56.18,0.23,0.16,302.800999999978
56.13,0.53,0.4,302.901000000013
56.07,0.6,0.36,303.000999999989
56.05,0.21,0.35,303.100999999966
56,0.64,0.43,303.201000000001
55.93,0.21,0.48,303.300999999978
55.89,0.23,0.2,303.401000000013
55.84,0.82,0.44,303.500999999989
55.83,0.45,0.55,303.600999999966
55.85,0.53,0.4,303.701000000001
55.79,0.89,0.31,303.800999999978
55.77,0.49,0.45,303.901000000013
55.77,0.29,0.51,304.000999999989
55.79,0.46,0.58,304.100999999966
55.76,0.49,0.4,304.201000000001
55.8,0.69,0.53,304.300999999978
55.87,0.9,0.5,304.401000000013
55.87,0.51,0.44,304.500999999989
55.97,0.45,0.35,304.600999999966
55.98,0.13,0.45,304.701000000001
55.97,0.06,0.65,304.800999999978
56,0.39,0.47,304.901000000013
56.08,0.42,0.26,305.000999999989
56.12,0.29,0.25,305.100999999966
56.1,0.75,0.56,305.201000000001
56.15,0.58,0.33,305.300999999978
56.27,0.43,0.41,305.401000000013
56.3,0.68,0.29,305.500999999989
56.31,0.65,0.27,305.600999999966
56.43,0.68,0.25,305.701000000001
56.46,0.62,0.49,305.800999999978
56.45,0.55,0.52,305.901000000013
56.51,0.63,0.26,306.000999999989
56.52,0.13,0.37,306.100999999966
56.59,0.21,0.63,306.201000000001
56.62,0.86,0.36,306.300999999978
56.61,0.63,0.12,306.401000000013
56.62,0.68,0.34,306.500999999989
56.58,0.52,0.74,306.600999999966
56.61,0.21,0.78,306.701000000001
56.67,0.56,0.38,306.800999999978
56.66,0.78,0.38,306.901000000013
56.66,0.61,0.35,307.000999999989
56.62,0.83,0.63,307.100999999966
56.58,0.61,0.51,307.201000000001
56.65,0.49,0.62,307.300999999978
56.68,0.43,0.43,307.401000000013
